1	2.34041e-06
2	4.45871e-07
3	2.3467e-06
4	-6.48852e-06
5	-6.33067e-07
6	4.56814e-06
7	-5.33182e-08
8	3.03565e-06
9	-3.37209e-06
10	2.66102e-06
11	1.04508e-05
12	5.19445e-06
13	1.22148e-05
14	3.09758e-06
15	1.52807e-06
16	-7.04615e-06
17	2.09385e-06
18	7.10017e-06
19	-2.15298e-06
20	4.17721e-06
21	-3.50387e-06
22	2.01142e-06
23	-1.94903e-06
24	6.6082e-06
25	8.70787e-08
26	-3.7225e-06
27	5.01238e-06
28	3.39723e-06
29	-7.51601e-06
30	1.27684e-06
31	-3.95556e-06
32	-4.24637e-06
33	9.56701e-07
34	-3.3828e-06
35	2.49431e-06
36	1.31433e-06
37	-3.43891e-07
38	-3.60445e-06
39	8.91043e-07
40	-2.35788e-06
41	1.49477e-06
42	4.81028e-06
43	1.64472e-06
44	-3.05614e-06
45	3.0885e-06
46	-6.42822e-06
47	-5.88596e-06
48	3.44799e-06
49	1.55647e-06
50	-5.60167e-06
51	-4.58467e-06
52	1.65775e-06
53	-1.72225e-06
54	-2.79746e-06
55	-1.1879e-06
56	2.92738e-06
57	1.15228e-06
58	-1.39908e-06
59	1.11642e-06
60	-3.3644e-07
61	1.93459e-06
62	1.15833e-06
63	-5.78118e-07
64	1.14483e-06
65	-2.93856e-06
66	7.86968e-07
67	-2.8871e-08
68	-1.573e-06
69	-7.21775e-07
70	1.99303e-06
71	1.1574e-06
72	-7.75792e-07
73	2.10432e-06
74	1.66916e-06
75	2.6077e-08
76	-6.65663e-07
77	4.11342e-06
78	-4.39817e-07
79	-1.40164e-07
80	-9.98145e-07
81	-7.85803e-07
82	-1.91946e-06
83	-8.21892e-08
84	8.53557e-07
85	-1.52271e-07
86	2.3772e-07
87	1.55461e-06
88	-8.23056e-07
89	4.12343e-07
90	-3.92087e-07
91	-3.79514e-07
92	3.79514e-07
93	5.29923e-07
94	1.36672e-07
95	1.86265e-07
96	1.01095e-06
97	-1.33039e-06
98	1.34646e-06
99	-2.41911e-07
100	-1.51044e-06
101	2.87381e-06
102	2.5549e-06
103	-2.59036e-06
104	-5.21799e-06
105	4.83966e-06
1	2.34041e-06
